league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20,2004,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,28.9,45,27,15,14,16,19,49,38.8,30,48,3,45,14,59,10,0
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,1991,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,11.3,58,34,27,27,4,32,47,68.1,15,18,2,16,17,75,28,3
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,2000,10.4,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,1998,26.7,65,43,33,25,7,34,51,66.7,17,20,5,15,37,102,65,2
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,48,35,25,13,10,17,45,37.8,28,22,0,22,11,59,31,0
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,59,32,15,31,13,26,56,46.4,30,24,6,18,20,79,26,0
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,34,20,12,10,12,12,27,44.4,15,16,1,15,11,45,20,1
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,65,33,17,30,18,31,84,36.9,53,43,7,36,13,78,23,4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,13,7,3,3,7,5,12,41.7,7,11,0,11,2,15,8,2
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,2,10,9,1
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,47,34,25,19,3,18,27,66.7,9,37,25,12,33,80,118,4
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,45,29,27,15,3,25,48,52.1,23,29,8,21,24,69,49,5
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,67,45,31,31,5,32,61,52.5,29,49,16,33,28,95,95,3
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
